Headline,Source,Status
Big Story,https://www.ndtv.com/,True
"Congress Claims Karnataka BJP Exodus: ""So PM Decided To Use Final Arsenal""",https://www.ndtv.com/,True
Top Stories,https://www.ndtv.com/,True
"Stormy Daniels Loses Defamation Case, Asked To Pay Trump Legal Fees",https://www.ndtv.com/,True
"India Records 4,435 Covid Cases In 24 Hours, Highest Since September-End",https://www.ndtv.com/,True
70-Year-Old Karnataka Woman's Quick Thinking Helped Avert Train Disaster,https://www.ndtv.com/,True
"""Communal Mindset"": India Slams Islamic Nations' Group On Ram Navami Remark",https://www.ndtv.com/,True
"Man Gifts Home Theatre With Bomb As Wedding Gift To Ex, Blast Kills Groom",https://www.ndtv.com/,True
Arunachal Pradesh Integral Part Of India: US After China 'Renames' Places,https://www.ndtv.com/,True
"How Donald Trump Lived Up To ""Wedding Crasher"" Tag On Big Day In Court",https://www.ndtv.com/,True
"After Dhoni's ""New Captain"" Outburst, CSK Pacer Reacts On No-Ball Episode",https://www.ndtv.com/,True
"Ahead Of Karnataka Polls, Kannada Star Kiccha Sudeep To Join BJP Today",https://www.ndtv.com/,True
"On MS Dhoni's Cameo Against Lucknow, Greats Kumble, Gayle's Verdict",https://www.ndtv.com/,True
,https://www.ndtv.com/,True
"Supreme Court cancels Centre's ban on Malayalam news channel MediaOne: ""Can't make national security claims out of thin air""",https://www.ndtv.com/,True
,https://www.ndtv.com/,True
"China's ""Sovereignty"" Claim After India Rejects 'Renaming' Arunachal Areas",https://www.ndtv.com/,True
"""The Only Crime I've Committed..."": Donald Trump's Fierce Attack On Biden | Highlights",https://www.ndtv.com/,True
Suspect In Kerala Train Fire That Killed 3 Arrested In Maharashtra,https://www.ndtv.com/,True
Johnson & Johnson's $9 Billion Offer To Settle 'Talc Caused Cancer' Claims,https://www.ndtv.com/,True
,https://www.ndtv.com/,True
Apple Takes Wraps Off Its First Store In India In Mumbai,https://www.ndtv.com/,True
Barbie Trailer: Twitter Is Excited To Step Into Margot Robbie's World,https://www.ndtv.com/,True
"Gill's Epic Reaction As Fan Shares Experience Of Rs 20,000 IPL Ticket",https://www.ndtv.com/,True
"Sushmita Sen Works Out With Ex-Boyfriend. ""Thank You Teacher,"" He Writes",https://www.ndtv.com/,True
"About Last Night: Hrithik And Saba Azad's Dinner Date, Done Right",https://www.ndtv.com/,True
Terrifying Video Shows Skier Digging Out Man Buried Deep Under Snow,https://www.ndtv.com/,True
Just Anushka And Virat Giving Us Major Couple Goals In This Pic,https://www.ndtv.com/,True
Rupert Murdoch And Ann Lesley Smith Call Off Their Engagement: Report,https://www.ndtv.com/,True
#KarnatakaElections2023,https://www.ndtv.com/,True
Opinion,https://www.ndtv.com/,True
ICYMI,https://www.ndtv.com/,True
style,https://www.ndtv.com/,True
Shloka Ambani's Lehenga Was Worn With A Vintage Shawl Draped As A Blouse,https://www.ndtv.com/,True
Television,https://www.ndtv.com/,True
Rishi Singh On His Journey From Kirtans To Winning Indian Idol 13,https://www.ndtv.com/,True
cricket,https://www.ndtv.com/,True
